Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Runtime,View Rating,IMDb Score,Awards Received,Awards Nominated For,Release Date,Netflix Release Date,Korean content
"Strip Down, Rise Up",Documentary,Documentary Films,English,Movie,7.4,0.5,14.0,5.1,0.0,0.0,2021-02-05 00:00:00.000000000,2021-02-06 00:00:00.000000000,False
Malcolm & Marie,Comedy,Dramas,English,Movie,7.9,1.5,10.502906976744185,7.2,9.0,0.0,1986-11-05 00:00:00.000000000,2021-02-06 00:00:00.000000000,False
Little Big Women,Drama,Dramas,"Mandarin, Min Nan",Movie,8.2,0.75,5.0,7.3,1.0,5.0,2020-11-06 00:00:00.000000000,2021-02-06 00:00:00.000000000,False
Invisible City,Documentary,TV Dramas,English,Series,8.6,0.5,12.0,7.3,0.0,0.0,2009-05-02 00:00:00.000000000,2021-02-06 00:00:00.000000000,False
The Yin-Yang Master: Dream Of Eternity,Drama,Action & Adventure,Chinese,Movie,7.2,0.5,10.502906976744185,6.3,0.0,0.0,2021-02-05 00:00:00.000000000,2021-02-05 00:00:00.000000000,False
Money,Thriller,Comedies,"English, Spanish",Movie,6.5,1.5,5.0,5.5,16.0,26.0,2017-06-27 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
Starring Maja,Drama,Comedies,Swedish,Movie,7.8,1.5,10.502906976744185,6.3,0.0,3.0,2009-09-11 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
Strong As A Lion,Drama,Dramas,Swedish,Movie,7.1,2.0,12.0,4.5,0.0,1.0,2003-02-14 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
The Assault,Action,Dramas,"French, Arabic",Movie,6.1,1.5,5.0,6.1,0.0,0.0,2011-03-09 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
The Dream House,Drama,Comedies,"English, Spanish",Movie,9.7,1.5,10.502906976744185,9.4,0.0,0.0,2016-06-24 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
The Great Adventure,Drama,Dramas,Swedish,Movie,8.3,1.5,5.0,6.8,6.0,1.0,1955-05-23 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
The Pilgrimage to Kevlaar,Drama,Dramas,None,Movie,8.5,1.5,10.502906976744185,7.0,0.0,0.0,1921-05-09 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
The Strongest,Drama,Dramas,None,Movie,6.08953859238785,1.5,10.502906976744185,6.599128216032314,0.0,0.0,1920-02-01 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
Karl Fredrik Reigns,Drama,Dramas,Swedish,Movie,7.6,1.5,5.0,5.2,0.0,0.0,1938-02-01 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
Irl (In Real Life),Drama,Dramas,Swedish,Movie,7.4,1.5,10.502906976744185,5.1,0.0,0.0,2013-10-25 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
Ingeborg Holm,Drama,Dramas,None,Movie,8.0,1.5,10.502906976744185,7.1,0.0,0.0,1913-10-27 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
Hanna in Society,Comedy,Comedies,Swedish,Movie,6.9,1.5,5.0,3.8,0.0,0.0,1941-11-15 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
Erotikon,Comedy,Comedies,"None, Swedish",Movie,7.8,1.5,5.0,6.5,0.0,0.0,1920-11-08 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
Career,Drama,Dramas,English,Movie,8.0,2.0,10.502906976744185,6.9,1.0,4.0,1960-10-01 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
Blackjack,Drama,Dramas,English,Movie,5.0,1.5,10.502906976744185,4.9,0.0,0.0,1998-05-12 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
Bit By Bit,Comedy,Comedies,"Swedish, English, Yiddish",Movie,7.0,0.5,14.0,4.8,0.0,0.0,2002-09-27 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
As Seen On Tv,Comedy,Comedies,English,Movie,9.3,1.5,5.0,8.6,2.0,0.0,2005-08-30 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
Angel,Drama,Dramas,English,Movie,4.0,2.0,10.502906976744185,7.9,12.0,48.0,1999-10-05 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
A Man There Was,Drama,Dramas,None,Movie,8.3,1.5,5.0,7.4,0.0,0.0,1920-04-25 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
Firefly Lane,Drama,TV Dramas,English,Series,6.08953859238785,1.5,12.0,6.599128216032314,0.0,0.0,2021-02-03 00:00:00.000000000,2021-02-04 00:00:00.000000000,False
Kid Cosmic,Comedy,TV Comedies,English,Series,9.0,0.5,12.0,8.3,0.0,0.0,2021-02-02 00:00:00.000000000,2021-02-03 00:00:00.000000000,False
Le Tournoi,Documentary,Dramas,None,Movie,6.08953859238785,0.5,14.0,6.599128216032314,0.0,0.0,2013-07-10 02:46:41.879537152,2021-02-01 00:00:00.000000000,False
The House Arrest of Us,Comedy,TV Comedies,Filipino,Series,9.1,0.5,10.502906976744185,8.3,0.0,0.0,2020-10-24 00:00:00.000000000,2021-02-01 00:00:00.000000000,False
We Are: The Brooklyn Saints,Documentary,Docuseries,English,Series,8.5,0.5,5.0,7.0,0.0,0.0,2021-01-29 00:00:00.000000000,2021-01-29 00:00:00.000000000,False
The Dig,Thriller,Dramas,English,Movie,8.2,1.5,12.0,6.3,3.0,8.0,2019-04-26 00:00:00.000000000,2021-01-29 00:00:00.000000000,False
Below Zero,Comedy,Action & Adventure,English,Movie,7.9,2.0,14.0,7.3,0.0,0.0,1930-04-26 00:00:00.000000000,2021-01-29 00:00:00.000000000,False
June & Kopi,Fantasy,Dramas,English,Movie,5.7,1.5,5.0,4.2,0.0,0.0,2015-10-13 00:00:00.000000000,2021-01-28 00:00:00.000000000,False
Penguin Bloom,Drama,Dramas,English,Movie,6.0,1.5,5.0,6.8,1.0,1.0,2021-01-27 00:00:00.000000000,2021-01-28 00:00:00.000000000,False
50M2,Drama,TV Dramas,Turkish,Series,6.9,1.5,5.0,7.0,0.0,0.0,2021-01-27 00:00:00.000000000,2021-01-28 00:00:00.000000000,False
Go Dog Go,Animation,TV Cartoons,English,Movie,9.2,1.5,5.0,8.4,0.0,0.0,2021-01-26 00:00:00.000000000,2021-01-27 00:00:00.000000000,False
Accomplice,Thriller,Documentary Films,English,Movie,7.6,1.5,5.0,5.4,0.0,0.0,1946-09-29 00:00:00.000000000,2021-01-27 00:00:00.000000000,False
Zavera,Drama,Dramas,Romanian,Movie,7.2,0.5,10.502906976744185,4.5,0.0,3.0,2019-11-29 00:00:00.000000000,2021-01-24 00:00:00.000000000,False
The White Tiger,Drama,Dramas,"Hindi, English",Movie,3.7,1.5,10.502906976744185,7.2,0.0,2.0,2021-01-22 00:00:00.000000000,2021-01-23 00:00:00.000000000,False
Fate: The Winx Saga,Drama,TV Dramas,English,Series,3.5,1.5,10.502906976744185,7.0,0.0,0.0,2021-01-22 00:00:00.000000000,2021-01-23 00:00:00.000000000,False
Spycraft,Short,US TV Shows,English,Series,6.08953859238785,1.5,10.502906976744185,6.599128216032314,0.0,0.0,2016-11-30 00:00:00.000000000,2021-01-21 00:00:00.000000000,False
Daughter From Another Mother,Drama,TV Dramas,Spanish,Series,8.3,1.5,10.502906976744185,7.3,0.0,0.0,2021-01-20 00:00:00.000000000,2021-01-21 00:00:00.000000000,False
What Would Sophia Loren Do?,Documentary,Biographical Documentaries,"Italian, English",Movie,8.2,0.5,14.0,6.7,0.0,0.0,2021-01-15 00:00:00.000000000,2021-01-16 00:00:00.000000000,False
Outside the Wire,Action,Action & Adventure,English,Movie,2.5,0.5,14.0,5.4,0.0,0.0,2021-01-15 00:00:00.000000000,2021-01-16 00:00:00.000000000,False
Double Dad,Drama,Comedies,Portuguese,Movie,7.4,2.0,12.0,5.5,0.0,0.0,2021-01-15 00:00:00.000000000,2021-01-16 00:00:00.000000000,False
Bling Empire,Reality-TV,US TV Shows,English,Series,7.0,2.0,14.0,5.7,0.0,0.0,2021-01-15 00:00:00.000000000,2021-01-16 00:00:00.000000000,False
Pinkfong & Baby Sharks Space Adventure,Animation,Children & Family Movies,Korean,Movie,8.5,1.5,13.0,7.1,0.0,0.0,2019-03-16 00:00:00.000000000,2021-01-15 00:00:00.000000000,True
Wish You,Drama,Dramas,"English, Vietnamese, Khmer",Movie,5.6,1.5,14.0,5.9,10.0,23.0,2013-06-07 00:00:00.000000000,2021-01-15 00:00:00.000000000,True
Night Stalker: The Hunt for a Serial Killer,Crime,US TV Shows,"English, Spanish",Series,3.8,1.5,5.0,7.5,0.0,0.0,2021-01-13 00:00:00.000000000,2021-01-14 00:00:00.000000000,False
"Crack: Cocaine, Corruption & Conspiracy",Crime,Social & Cultural Docs,English,Movie,7.2,0.5,14.0,6.6,0.0,0.0,2021-01-11 00:00:00.000000000,2021-01-12 00:00:00.000000000,False
Lupin,Animation,TV Dramas,"Japanese, English, French",Series,4.0,0.5,2.0,7.7,1.0,1.0,1979-12-15 00:00:00.000000000,2021-01-09 00:00:00.000000000,False
Pieces of a Woman,Drama,Dramas,English,Movie,3.4,0.5,14.0,7.1,5.0,43.0,2021-01-07 00:00:00.000000000,2021-01-08 00:00:00.000000000,False
Tony Parker: The Final Shot,Documentary,Biographical Documentaries,French,Movie,8.0,1.5,14.0,6.8,0.0,0.0,2021-01-06 00:00:00.000000000,2021-01-07 00:00:00.000000000,False
Surviving Death,Documentary,US TV Shows,English,Series,7.9,1.5,10.502906976744185,5.8,0.0,0.0,2010-03-04 00:00:00.000000000,2021-01-07 00:00:00.000000000,False
100% Halal,Drama,Dramas,Indonesian,Movie,8.3,2.0,5.0,6.6,0.0,0.0,2020-12-01 00:00:00.000000000,2021-01-07 00:00:00.000000000,False
History of Swear Words,Comedy,US TV Shows,English,Series,6.6,2.0,12.0,6.5,0.0,0.0,2021-01-05 00:00:00.000000000,2021-01-05 00:00:00.000000000,False
Gabbys Dollhouse,Comedy,TV Cartoons,English,Series,6.08953859238785,2.0,10.502906976744185,6.599128216032314,0.0,0.0,2016-07-05 00:00:00.000000000,2021-01-05 00:00:00.000000000,False
The Netflix Afterparty,Talk-Show,TV Comedies,English,Series,6.8,0.5,14.0,3.9,0.0,0.0,2020-12-13 00:00:00.000000000,2021-01-03 00:00:00.000000000,False
What Happened to Mr. Cha?,Drama,Comedies,Korean,Movie,7.0,0.5,14.0,4.2,0.0,0.0,2021-01-01 00:00:00.000000000,2021-01-01 00:00:00.000000000,True
The Minimalists: Less Is Now,Documentary,Social & Cultural Docs,English,Movie,6.6,0.5,5.0,5.9,0.0,0.0,2021-01-01 00:00:00.000000000,2021-01-01 00:00:00.000000000,False
Headspace Guide to Meditation,Animation,US TV Shows,English,Series,8.9,2.0,10.502906976744185,8.6,0.0,0.0,2021-01-01 00:00:00.000000000,2021-01-01 00:00:00.000000000,False
The Elephant Man,Drama,Dramas,"English, French",Movie,4.2,2.0,5.0,8.1,10.0,22.0,1980-10-10 00:00:00.000000000,2021-01-01 00:00:00.000000000,False
The Things of Life,Drama,Dramas,French,Movie,7.2,1.5,14.0,7.6,1.0,2.0,1970-03-13 00:00:00.000000000,2021-01-01 00:00:00.000000000,False
Cesar and Rosalie,Drama,Comedies,"French, English",Movie,8.1,1.5,10.502906976744185,7.4,1.0,0.0,1972-10-27 00:00:00.000000000,2021-01-01 00:00:00.000000000,False
Tarung Sarung,Drama,Dramas,Indonesian,Movie,7.9,1.5,10.502906976744185,5.9,0.0,0.0,2020-12-31 00:00:00.000000000,2021-01-01 00:00:00.000000000,False
Running Man,Comedy,TV Comedies,Korean,Series,8.2,0.5,5.0,9.0,2.0,4.0,2010-07-11 00:00:00.000000000,2021-01-01 00:00:00.000000000,True
Full Out 2: You Got This!,Family,Dramas,English,Movie,7.2,0.5,10.502906976744185,4.6,0.0,0.0,2020-02-01 00:00:00.000000000,2021-01-01 00:00:00.000000000,False
Best of Stand-Up 2020,Comedy,Comedies,English,Movie,7.5,1.5,13.0,5.4,0.0,0.0,2020-12-31 00:00:00.000000000,2021-01-01 00:00:00.000000000,False
Equinox,Action,TV Thrillers,English,Series,5.7,1.5,5.0,5.4,0.0,4.0,1970-10-01 00:00:00.000000000,2020-12-31 00:00:00.000000000,False
Best Leftovers Ever!,Reality-TV,US TV Shows,English,Series,7.6,0.5,14.0,5.6,0.0,0.0,2020-12-30 00:00:00.000000000,2020-12-31 00:00:00.000000000,False
The Rope Curse 2,Horror,Horror Movies,"Mandarin, Min Nan",Movie,7.2,0.5,14.0,4.7,0.0,3.0,2020-09-02 00:00:00.000000000,2020-12-30 00:00:00.000000000,False
A Love So Beautiful,Comedy,TV Comedies,Chinese,Series,8.6,1.5,13.0,8.1,5.0,1.0,2017-11-09 00:00:00.000000000,2020-12-29 00:00:00.000000000,True
All My Friends Are Dead,Drama,Comedies,English,Movie,6.08953859238785,0.5,14.0,6.599128216032314,0.0,0.0,2016-01-01 00:00:00.000000000,2020-12-29 00:00:00.000000000,False
Cops and Robbers,Drama,Dramas,"Italian, English, French",Movie,8.2,0.5,10.502906976744185,7.7,3.0,1.0,1951-12-21 00:00:00.000000000,2020-12-28 00:00:00.000000000,False
My Only One,Drama,TV Dramas,Korean,Series,8.9,0.5,5.0,7.8,4.0,0.0,2018-09-15 00:00:00.000000000,2020-12-28 00:00:00.000000000,True
Find Me in Your Memory,Romance,TV Dramas,Korean,Series,8.5,1.5,10.502906976744185,7.4,0.0,0.0,2020-03-18 00:00:00.000000000,2020-12-28 00:00:00.000000000,True
Death to 2020,Comedy,Comedies,English,Movie,3.4,1.5,10.502906976744185,6.8,0.0,0.0,2020-12-27 00:00:00.000000000,2020-12-27 00:00:00.000000000,False
Monster Run,Drama,Drama,"Chinese, Cantonese",Movie,7.5,1.5,12.0,5.2,0.0,0.0,2020-08-18 00:00:00.000000000,2020-12-27 00:00:00.000000000,False
The Magic School Bus Rides Again In the Zone,Comedy,TV Cartoons,English,Movie,7.8,0.5,14.0,5.7,0.0,0.0,2020-12-26 00:00:00.000000000,2020-12-26 00:00:00.000000000,False
Asphalt Burning,Comedy,Comedies,"Swedish, Norwegian, German, English",Movie,6.8,0.5,10.502906976744185,5.1,0.0,0.0,2021-01-02 00:00:00.000000000,2020-12-26 00:00:00.000000000,False
Bridgerton,Drama,TV Dramas,English,Series,3.6,0.5,13.0,7.3,1.0,7.0,2020-12-25 00:00:00.000000000,2020-12-26 00:00:00.000000000,False
We Can Be Heroes,Comedy,Comedies,English,Movie,7.8,1.5,14.0,8.1,3.0,5.0,2005-07-27 00:00:00.000000000,2020-12-26 00:00:00.000000000,False
Grandmas Last Wishes,Drama,Comedies,English,Movie,3.9,0.5,14.0,6.7,5.0,13.0,2015-09-18 00:00:00.000000000,2020-12-26 00:00:00.000000000,False
Seven Souls in the Skull Castle,Drama,Dramas,"Japanese, English",Movie,8.6,0.5,14.0,7.2,0.0,0.0,2013-01-12 00:00:00.000000000,2020-12-25 00:00:00.000000000,False
Isa Pa with Feelings,Comedy,Romantic Movies,"Tagalog, Filipino, Sign Languages",Movie,8.7,1.5,12.0,7.7,0.0,0.0,2019-10-25 00:00:00.000000000,2020-12-25 00:00:00.000000000,False
AK vs AK,Drama,Comedies,Hindi,Movie,3.5,1.5,5.0,7.0,0.0,0.0,2020-12-24 00:00:00.000000000,2020-12-25 00:00:00.000000000,False
Rhys Nicholson Live at the Athenaeum,Comedy,Comedies,English,Movie,8.7,2.0,12.0,7.6,0.0,0.0,2020-12-20 00:00:00.000000000,2020-12-24 00:00:00.000000000,False
The Midnight Sky,Drama,Dramas,English,Movie,2.8,0.5,14.0,5.6,1.0,32.0,2020-12-23 00:00:00.000000000,2020-12-24 00:00:00.000000000,False
Your Name Engraved Herein,Drama,Dramas,"Mandarin, English, Min Nan",Movie,7.1,1.5,13.0,7.3,2.0,5.0,2020-12-23 00:00:00.000000000,2020-12-24 00:00:00.000000000,False
"Hello, Love, Goodbye",Drama,Dramas,"Chinese, Tagalog, Filipino",Movie,8.6,1.5,10.502906976744185,7.3,1.0,18.0,2019-08-09 00:00:00.000000000,2020-12-24 00:00:00.000000000,False
Cemaras Family,Drama,Dramas,Indonesian,Movie,8.6,0.5,14.0,7.9,2.0,4.0,2019-01-03 00:00:00.000000000,2020-12-24 00:00:00.000000000,False
Bridezilla,Drama,Comedies,Indonesian,Movie,7.9,0.5,10.502906976744185,5.8,0.0,0.0,2019-08-01 00:00:00.000000000,2020-12-24 00:00:00.000000000,False
Kkondae Intern,Drama,TV Dramas,Korean,Series,8.7,1.5,5.0,7.4,0.0,0.0,2020-05-20 00:00:00.000000000,2020-12-23 00:00:00.000000000,True
Rhyme Time Town Singalongs,Animation,TV Cartoons,English,Series,9.1,2.0,10.502906976744185,8.3,0.0,0.0,2020-12-22 00:00:00.000000000,2020-12-22 00:00:00.000000000,False
Lovestruck in the City,Drama,TV Dramas,Korean,Series,8.5,1.5,14.0,7.4,0.0,0.0,2020-12-22 00:00:00.000000000,2020-12-22 00:00:00.000000000,True
"ariana grande: excuse me, i love you",Documentary,US Movies,English,Movie,7.3,0.5,14.0,6.4,0.0,0.0,2020-12-21 00:00:00.000000000,2020-12-22 00:00:00.000000000,False
Sweet Home,Horror,TV Thrillers,"English, Spanish",Series,7.2,1.5,14.0,5.2,0.0,0.0,2015-05-08 00:00:00.000000000,2020-12-18 00:00:00.000000000,True
Paava Kadhaigal,Drama,Drama Programmes,Tamil,Series,7.1,0.5,12.0,8.1,0.0,0.0,2020-12-18 00:00:00.000000000,2020-12-18 00:00:00.000000000,False
Diamond City,Drama,TV Dramas,English,Series,7.8,0.5,14.0,5.8,0.0,0.0,1949-09-22 00:00:00.000000000,2020-12-18 00:00:00.000000000,False
Mukhsin,Drama,Comedies,"Malay, English, Mandarin",Movie,8.7,0.5,14.0,7.2,5.0,5.0,2007-03-08 00:00:00.000000000,2020-12-18 00:00:00.000000000,False
Talentime,Drama,Dramas,"Malay, Tamil, English, Cantonese, Sign Languages",Movie,8.9,0.5,14.0,6.8,5.0,1.0,2009-03-26 00:00:00.000000000,2020-12-18 00:00:00.000000000,False
Schulz Saves America,Comedy,Stand-up Comedy,English,Series,8.3,1.5,12.0,7.5,0.0,0.0,2020-12-17 00:00:00.000000000,2020-12-17 00:00:00.000000000,False
An Unremarkable Christmas,Drama,Comedies,Spanish,Movie,6.8,0.5,5.0,3.6,0.0,0.0,2020-12-17 00:00:00.000000000,2020-12-17 00:00:00.000000000,False
Run On,Comedy,TV Dramas,English,Series,7.7,0.5,12.0,5.5,0.0,0.0,2011-02-24 00:00:00.000000000,2020-12-17 00:00:00.000000000,True
Love You to the Stars and Back,Drama,Comedies,"Filipino, Tagalog",Movie,8.6,1.5,10.502906976744185,7.6,1.0,19.0,2017-09-08 00:00:00.000000000,2020-12-17 00:00:00.000000000,False
Sakaling Maging Tayo,Comedy,Romantic Movies,"Filipino, Tagalog",Movie,8.5,1.5,12.0,7.1,0.0,0.0,2019-01-16 00:00:00.000000000,2020-12-17 00:00:00.000000000,False
Eggnoid: Love & Time Portal,Drama,Dramas,Indonesian,Movie,8.1,2.0,5.0,6.3,0.0,0.0,2019-12-05 00:00:00.000000000,2020-12-17 00:00:00.000000000,False
The Stand-In,Drama,Comedies,English,Movie,7.9,1.5,14.0,5.9,2.0,0.0,2013-07-10 02:46:41.879537152,2020-12-16 00:00:00.000000000,False
